ID,summary,opportunities,usecases,procedure,attack techniques
DTE0013,"Decoy Diversity

            Deploy a set of decoy systems with different OS and software configurations.
            

            Decoy diversity is the deployment of decoy systems with varying Operating Systems and software configurations. Most enterprise networks contain systems which utilize different types and versions of operating systems and applications (Microsoft Windows, MacOS, Linux, Microsoft Office, Adobe Reader, etc.)  Deploying decoy systems with such variations allows you to present a realistic environment to an adversary.  It also allows you to see if they use different TTPs on systems with different configurations.","DOS0002
There is an opportunity to discover who or what is being targeting by an adversary.

DOS0008
There is an opportunity to present several public-facing application options to see what application(s)  the adversary targets.

DOS0188
There is an opportunity to use decoy accounts of varying types to see what an adversary is most interested in.

DOS0191
 There is an opportunity to supply a variety of different decoy network shares to an adversary to see what they are drawn to look at and use.","DUC0002
A defender could use a decoy or set of decoys with different network addresses, operating systems, web browsers, language settings, and etc. to determine if every system that visits a compromised website receives its malicious payload or only specific systems receive it.

DUC0008
A defender can use a diverse set of decoy systems to study an adversary and determine which types of public-facing applications they choose to exploit.

DUC0188
A defender can make a variety of decoy accounts and see if the adversary seems to be drawn to accounts of a specific type, with specific permissions, group access, etc.

DUC0191
A defender can make a variety of decoy network shares available to an adversary and see if the adversary seems to be drawn to shares with specific names, permissions, etc.","DPR0025
Use a Windows Virtual Machine (VM) and a Mac VM to visit a malicious website and note any differences in how the site functions based on the client that was used.

DPR0026
Deploy multiple decoy systems, each with a unique network fingerprint (ports, services, connections, etc.) in order to provide an adversary a wide range of targets.","T1087

Account Discovery
Discovery


T1135

Network Share Discovery
Discovery


T1189

Drive-by Compromise
Initial Access


T1190

Exploit Public-Facing Application
Initial Access"
DTE0014,"Decoy Network

            Create a target network with a set of target systems, for the purpose of active defense. 
            

            Decoy networks are comprised of multiple computing resources that can be used for defensive or deceptive purposes.  A decoy network can be used to safely perform dynamic analysis of suspected malicious code. A defender can also use a specially crafted decoy network to perform adversary engagement.","DOS0003
There is an opportunity to use a compromised drive-by site to start long term engagement with the adversary and observe the adversary's post-exploit TTPs.

DOS0020
Hardware and/or software additions can be tested and verified in controlled environments prior to deployment.

DOS0231
There is an opportunity to extend an adversary's engagement period by creating a decoy network that systems can discover when performing trust discovery.

DOS0251
There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them.","DUC0003
A defender seeking to learn about post compromise adversary activity could visit the compromised website with a system in a decoy network that has been designed to sustain an adversary engagement past the initial compromise.

DUC0020
A defender can install any suspect hardware or software on an isolated system or network and monitor for non-standard behaviors.

DUC0231
A defender can create a decoy network that contains systems which are easily discoverable and appealing to an adversary.

DUC0251
A defender can use a decoy network and seed it with cloud services to see how an adversary might exploit those resources.","DPR0027
Create an isolated network populated with decoy systems that can be used to study an adversary's tactics, techniques, and procedures (TTPs).

DPR0028
Use a segregated network to visit a compromised site.  If the machine becomes infected, allow the machine to remain on with internet access to see if an adversary engages and takes action on the system.","T1189

Drive-by Compromise
Initial Access


T1195

Supply Chain Compromise
Initial Access


T1482

Domain Trust Discovery
Discovery


T1526

Cloud Service Discovery
Discovery"
DTE0015,"Decoy Persona

            Develop personal information (aka a backstory) about a user and plant data to support that backstory. 
            

            A decoy persona is used to establish background information about a user.  In order to have the adversary believe they are operating against real targets (people and IT), develop a backstory about a user and plant data to support that backstory.  Depending on the need for realism, the constructed persona can be supported by evidence of hobbies, social and professional interactions, consumer transactions, employment, etc.","DOS0002
There is an opportunity to discover who or what is being targeting by an adversary.","DUC0019
A defender can seed information about the decoy persona's personal accounts on systems to see if the adversary collects and uses that information in future activity.","DPR0029
Create a persona that represents an employee with hobbies, outside interests, personal accounts, etc.  This persona may be used in conjunction with decoy accounts and credentials.

DPR0030
Create a persona that represents an employee's projects and job scope. This persona information can be leveraged in conjunction with Burn-In and Pocket Litter.","T1566

Phishing
Initial Access"
DTE0016,"Decoy Process

            Execute software on a target system for the purposes of the defender.
            

            Executing software will create a system process (either ephemeral or perpetual) on the target system, which can be used to influence the perception or action of an adversary.   A decoy process could do things including give the impression of either a more or less secure system, the presence of attackable services or defensive infrastructure, or suggest the supposed purpose or use of the target machine.","DOS0182
There is an opportunity to present decoy processes to an adversary to influence their behaviors, test their interest, or add legitimacy to a system or environment.","DUC0080
The defender can run processes on legitimate systems that create network artifacts for an adversary to collect. These artifacts may contain data such as credentials, hostnames, etc., that would lead an adversary to target decoy systems and networks.

DUC0182
A defender can run decoy processes on a system to entice an adversary.","DPR0031
Create decoy processes on a system that mimic common antivirus process names. These processes when seen may prevent adversary malware from executing for fear of detection.","T1040

Network Sniffing
Credential Access, Discovery


T1057

Process Discovery
Discovery"
DTE0017,"Decoy System

            Configure a computing system to serve as an attack target or experimental environment.  
            

            A decoy system is a computing resource presented to the adversary in support of active defense.  The underlying system can be real, virtual, or simulated, and can be presented as one of a variety of IT devices including user workstations, servers, networking systems, IOT (embedded devices), mobile systems like phones, etc.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.

DOS0005
There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique.

DOS0009
There is an opportunity to determine if an adversary already has valid account credentials for your network and if they are trying to use them access your network via remote services.

DOS0169
There is an opportunity to deploy virtual decoy systems and see if an adversary discovers or reacts to the virtualization.

DOS0199
In an adversary engagement scenario, there is an opportunity to introduce decoy systems that can influence an adversary's behavior or allow you to observe how they perform a specific task.","DUC0001
A defender can use a decoy system to access a compromised website to see how it works (study the exploit sequence, collect relevant artifacts, etc.).

DUC0007
A defender can use decoy system running a public-facing application to see if an adversary attempts to compromise the system and learn their TTPs.

DUC0009
A defender can setup a decoy VPN server and see if an adversary attempts to use valid account to authenticate to it.

DUC0026
A defender can configure a decoy system with limited restrictions to see if the adversary creates or alters scheduled tasks to launch their malware.

DUC0034
A defender can use a decoy system to see if an adversary exploits vulnerable software in order to compromise the system.

DUC0078
A defender can add decoy systems to the network so an adversary can have a variety of network services available to them.  The defender can observe which network services the adversary attempts to use.

DUC0097
A defender can deploy a decoy software deployment tool within an adversary engagement environment to see how the adversary attempts to use the device during their activity.

DUC0134
A defender can deploy a decoy system to see if an adversary attempts to shutdown or reboot the device.

DUC0169
A defender can deploy a virtual decoy system to see if the adversary recognizes the virtualization and reacts.

DUC0199
A defender could implement a decoy system running a  remote service (such as telnet, SSH, and VNC) and see if the adversary attempts to login to the service.

DUC0200
A defender could implement a decoy system to study how and when an adversary obfuscate files and hides information.

DUC0223
A defender can install remote access tools on decoy systems across the network to see if the adversary uses these tools for command and control.

DUC0225
A defender can have decoy systems that are easy to gain access to and have Office installed. The decoy system can be monitored to see if an adversary attempts to inject anything malicious into Office templates.","DPR0032
Use an isolated system to visit a suspected compromised website.  Collect any associated scripting code or files dropped onto the system.

DPR0033
Setup a server which appears to be something that is commonly expected within a network, such as web server.","T1021

Remote Services
Lateral Movement


T1027

Obfuscated Files or Information
Defense Evasion


T1046

Network Service Scanning
Discovery


T1053

Scheduled Task/Job
Execution, Persistence, Privilege Escalation


T1072

Software Deployment Tools
Execution, Lateral Movement


T1133

External Remote Services
Persistence, Initial Access


T1189

Drive-by Compromise
Initial Access


T1190

Exploit Public-Facing Application
Initial Access


T1203

Exploitation for Client Execution
Execution


T1219

Remote Access Software
Command and Control


T1221

Template Injection
Defense Evasion


T1497

Virtualization/Sandbox Evasion
Defense Evasion, Discovery


T1529

System Shutdown/Reboot
Impact"
DTE0018,"Detonate Malware

            Execute malware under controlled conditions to analyze its functionality.
            

            An execution environment can range from a somewhat sterile commercial malware execution appliance, to a bespoke system crafted to meet engagement goals.  The execution environment will typically be highly instrumented and have special controls to ensure the experiment is contained and harmless to unrelated systems.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.","DUC0037
A defender can detonate malicious code leveraging a signed binary on a decoy system or within a decoy network to see how it behaves or for adversary engagement purposes.

DUC0040
A defender can execute adversary malware on a decoy system and examine its behaviors or potentially engage with the adversary to obtain further intelligence.","DPR0034
Take malware received via spearphishing and detonate it on an isolated system in order to collect execution and network communication artifacts.

DPR0035
Detonate a malware sample in a decoy network to engage with an adversary and study their TTPs.","T1204

User Execution
Execution


T1218

Signed Binary Proxy Execution
Defense Evasion"
DTE0019,"Email Manipulation

            Modify the flow or contents of email. 
            

            Email flow manipulation includes changing which mail appliances process mail flows, to which systems they forward mail, or moving mail after it arrives in an inbox.  Email content manipulation includes altering the contents of an email message.","DOS0017
A phishing email can be detected and blocked from arriving at the intended recipient.","DUC0015
A defender can intercept emails that are detected as suspicious or malicious by email detection tools and prevent deliver to the intended target.","DPR0036
Modify the destination of inbound email to facilitate the collection of inbound spearphishing messages.

DPR0064
Modify the contents of an email message to maintain continuity when it is used for adversary engagement purposes.","T1566

Phishing
Initial Access"
DTE0020,"Hardware Manipulation

            Alter the hardware configuration of a system to limit what an adversary can do with the device.
            

            Hardware Manipulation can be making physical or configuration changes, including physically removing a system's microphone, camera, on-board Wi-Fi adapter, etc. or using other controls to disable those devices.","DOS0106
There is an opportunity to alter the system to prevent an adversary from capturing audio content.

DOS0115
There is an opportunity to alter the system to prevent an adversary from capturing video content.","DUC0106
A defender can physically remove or disable a system's microphone and web camera so that audio capture is not possible.

DUC0115
A defender can physically remove or disable a system's web camera and remove any video capture applications so that video capture is not possible.","DPR0037
Remove the microphone from a laptop to prevent an adversary from capturing audio from the device.

DPR0038
Remove the Wi-Fi hardware from a device to prevent an adversary from enabling and using  a Wi-Fi connection.","T1123

Audio Capture
Collection


T1125

Video Capture
Collection"
DTE0021,"Hunting

            The process of searching for the presence of or information about an adversary.  
            

            Typically the search is informed by intelligence on adversary TTPs and infrastructure.   Within the defender's environments, hunting presupposes a failure of initial prevention or detection, and that an adversary has successfully penetrated a system.  In this case defenders hunt for the presence of an adversary.  Defenders also hunt adversaries outside the defended environment.  Information about the adversary, including their skills, TTPs, and infrastructure can be used to improve defenses or promote better adversary engagement.","DOS0245
If you can determine how an adversary is dynamically resolving command and control (C2) addresses, there is an opportunity to use that information to identify additional adversary infrastructure or tools.","DUC0245
A defender can use information about how an identified dynamic resolution works to hunt for previously undetected adversary resolutions that work in the same manner.","DPR0039
Pivot on Command and Control information to identify other infrastructure used by the same adversary.

DPR0065
Use information about an adversary's TTPs to perform retroactive searches for any activity that have gone undetected.","T1568

Dynamic Resolution
Command and Control"
DTE0022,"Isolation

            Configure devices, systems, networks, etc. to contain activity and data in order to promote inspection or prevent expanding an engagement beyond desired limits.
            

            Using isolation, a defender can prevent potentially malicious activity before it starts or limit its effectiveness and scope. A defender can observe behaviors of adversaries or their tools without exposing them to unintended targets.","DOS0010
There is an opportunity to test hardware additions in an isolated environment and ensure they can't be used by an adversary.

DOS0012
There is an opportunity to prevent an adversary from using removable media to compromise disconnected or air-gapped systems.

DOS0160
There is an opportunity to detect an unknown process that is being used for command and control and disrupt it.","DUC0010
A defender can install any suspect hardware on an isolated system and monitor for non-standard behaviors.

DUC0014
A defender can setup protections so removeable media cannot be mounted until an isolated review process has cleared the drive.

DUC0160
A defender can isolate unknown processes that are being used for command and control and prevent them from being able to access the internet.","DPR0040
Unplug an infected system from the network and disable any other means of communication.

DPR0066
Run all user applications in isolated containers to prevent a compromise from expanding beyond the container's boundaries.","T1091

Replication Through Removable Media
Lateral Movement, Initial Access


T1104

Multi-Stage Channels
Command and Control


T1200

Hardware Additions
Initial Access"
DTE0023,"Migrate Attack Vector

            Move a malicious link, file, or device from its intended location to a decoy system or network for execution/use.
            

            Migrate Attack Vector allows a defender to access an intercepted malicious element and analyze it in a safe environment or conduct an adversary engagement within a decoy network.","DOS0013
There is an opportunity to study removable media to see if it's infected and what happens when it is plugged into a decoy system or network.

DOS0019
A phishing email can be detected and moved from the intended recipient to a decoy account for reading and execution.

DOS0024
There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.","DUC0013
A defender can connect a suspect removeable media device to a decoy system and see what happens when autorun is enabled.

DUC0016
A defender can move suspicious emails to a decoy system prior to opening and examining the email.

DUC0211
A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do.","DPR0041
When malware is received via spearphishing, move the email message onto a decoy system prior to detonating the malicious file attachment.","T1091

Replication Through Removable Media
Lateral Movement, Initial Access


T1092

Communication Through Removable Media
Command and Control


T1566

Phishing
Initial Access"
DTE0025,"Network Diversity

            Use a diverse set of devices on the network to help establish the legitimacy of a decoy network.
            

            Network diversity involves the use a diverse collection of network items to make a decoy network look more realistic.  It also ensures the network contains the appropriate amount and types of things that would normally be expected, perhaps including networking devices, firewalls, printers, phones, etc.","DOS0024
There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.

DOS0081
There is an opportunity to entice the adversary to expose additional TTPs.","DUC0081
The defender can add unique endpoints, servers, routers, and other devices to give the adversary a broader attack surface. This can cause the adversary to expose additional capabilities.

DUC0087
A defender can setup networks that use Kerberos authentication and systems that authenticate using it.  This gives you a chance to see if an adversary has the capacity to steal or forge Kerberos tickets for lateral movement.","DPR0043
Deploy a mix of network devices (systems, servers, printers, phones, etc.) to make a decoy network look realistic.

DPR0044
Deploy a variety of systems which reflect the use of multiple operating systems, hardware platforms, network services, etc.","T1040

Network Sniffing
Credential Access, Discovery


T1558

Steal or Forge Kerberos Tickets
Credential Access"
DTE0026,"Network Manipulation

            Make changes to network properties and functions to achieve a desired effect.
            

            Network Manipulation allows a defender to throttle network speeds, segment the network, maintain a unique IP addressing scheme, or add a kill switch to cut off network access if needed.","DOS0130
There is an opportunity to alter the network configuration in order to disrupt an adversary who is trying to saturate the network or a system via denial of service.

DOS0159
There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity.

DOS0164
There is an opportunity to block an adversary that is seeking to use a proxied connection.

DOS0174
There is an opportunity to disrupt or enable and adversary's exfiltration activities by blocking/unblocking the traffic to their Command and Control (C2) location.

DOS0246
An adversary may attempt to dynamically determine the C2 address to communicate with. This gives a defender an opportunity to discover additional infrastructure.","DUC0126
A defender can configure network devices to analyze network traffic, detect a potential DoS attack, and make appropriate adjustments to mitigate the situation.

DUC0152
A defender could allow or deny outbound SMB requests from a network to affect the success of forced authentication. Alternative a defender could redirect outbound SMB requests to a decoy system to thwart attempted credential theft

DUC0153
A defender can identify and block specific adversary Command and Control (C2) traffic to see how an adversary responds, possibly exposing additional C2 information.

DUC0158
A defender can block certain adversary used protocols used between systems in order to prevent lateral tool transfer.

DUC0161
A defender could implement a protocol aware IPS to limit systems communicating to unknown locations on the internet.

DUC0164
A defender could block traffic to known anonymity networks and C2 infrastructure through the use of network allow and block lists. 

DUC0174
A defender can prevent or enable use of alternate protocols for exfiltration by blocking/unblocking unnecessary ports and protocols.

DUC0175
A defender can restrict network traffic making adversary exfiltration slow or unreliable.

DUC0246
A defender can block primary C2 domains and IPs to determine if the malware or adversary has the ability to reach out to additional infrastructure.","DPR0045
Add a kill switch to a decoy network that can be used to shutdown all network communication if an adversary takes an action that is out of the desired scope.

DPR0046
Introduce intermittent network packet loss on a decoy network to interfere with an adversary's activities.","T1008

Fallback Channels
Command and Control


T1041

Exfiltration Over C2 Channel
Exfiltration


T1048

Exfiltration Over Alternative Protocol
Exfiltration


T1090

Proxy
Command and Control


T1104

Multi-Stage Channels
Command and Control


T1187

Forced Authentication
Credential Access


T1498

Network Denial of Service
Impact


T1499

Endpoint Denial of Service
Impact


T1568

Dynamic Resolution
Command and Control


T1570

Lateral Tool Transfer
Lateral Movement"
DTE0027,"Network Monitoring

            Monitor network traffic in order to detect adversary activity.
            

            Network monitoring involves capturing network activity data, including capturing of server, firewall, and other relevant logs. A defender can then review them or send them to a centralized collection location for further analysis.","DOS0198
There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary.","DUC0089
A defender can monitor network traffic for anomalies associated with known MiTM behavior.

DUC0159
A defender can monitor for systems establishing connections using encapsulated protocols not commonly used together such as RDP tunneled over TCP.

DUC0198
The defender can implement network monitoring for and alert on  anomalous traffic patterns, large  or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DPR0047
Capture network logs for internet-facing devices and send those logs to a central collection location.

DPR0048
Capture all network  device (router, switches, proxy, etc.) logs on a decoy network and send those logs to a central collection location.","T1021

Remote Services
Lateral Movement


T1029

Scheduled Transfer
Exfiltration


T1071

Application Layer Protocol
Command and Control


T1205

Traffic Signaling
Defense Evasion, Persistence, Command and Control


T1557

Man-in-the-Middle
Credential Access, Collection


T1570

Lateral Tool Transfer
Lateral Movement


T1571

Non-Standard Port
Command and Control


T1572

Protocol Tunneling
Command and Control"
DTE0028,"PCAP Collection

            Collect full network traffic for future research and analysis.
            

            PCAP Collection allows a defenders to use the data to examine an adversary’s network traffic more closely, including studying if it is encoded and/or encrypted. PCAP can be run through tools to replay the traffic to get a real-time view of what happened over the wire. These tools can also parse the traffic and send results to a SIEM for monitoring and alerting.","DOS0116
There is an opportunity to detect adversary activity that uses obfuscated communication.

DOS0170
There is an opportunity to collect network data and analyze the adversary activity it contains.","DUC0116
A defender can capture network traffic for a compromised system and look for abnormal network traffic that may signal data obfuscation.

DUC0170
Collecting full packet capture of all network traffic allows you to review what happened over the connection and identify command and control traffic and/or exfiltration activity.","DPR0049
Collect PCAP on a decoy network to improve visibility into an adversary's network activity.","T1001

Data Obfuscation
Command and Control


T1020

Automated Exfiltration
Exfiltration


T1030

Data Transfer Size Limits
Exfiltration


T1105

Ingress Tool Transfer
Command and Control"
DTE0029,"Peripheral Management

            Manage peripheral devices used on systems within the network for active defense purposes.


            

            Peripheral Management is the administration of peripheral devices used on systems within the network for defensive or deceptive purposes. A defender can choose to allow or deny certain types of peripherals from being used on systems. Defenders can also introduce certain peripherals to an adversary-controlled system to see how the adversary reacts.","DOS0023
There is an opportunity to gauge an adversary's interest in connected peripheral devices.

DOS0024
There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.","DUC0023
A defender can connect one or more peripheral devices to a decoy system to see if an adversary has any interest in them.

DUC0024
A defender can plug in a USB drive and see how quickly the adversary notices and inspects it.

DUC0205
A defender could use decoy peripherals, such as external Wi-Fi adapters, USB devices, etc. to determine if adversaries attempt to use them for exfiltration purposes.

DUC0211
A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do.","DPR0050
Introduce external devices (e.g. a USB drive) to a machine in an adversary engagement scenario to see how quickly an adversary gains awareness to its presence and if they attempt to leverage the device.

DPR0051
Configure controls (such as AutoRun) which would require an adversary to take additional steps when leveraging a peripheral device to execute their tools.","T1052

Exfiltration Over Physical Medium
Exfiltration


T1092

Communication Through Removable Media
Command and Control


T1120

Peripheral Device Discovery
Discovery"
DTE0030,"Pocket Litter

            Place data on a system to reinforce the legitimacy of the system or user.
            

            Pocket Litter is data placed on a system to convince an adversary that the system and users are real.  Pocket litter includes documents, registry entries, log history, browsing history, connection history, and other user data that one would expect to exist on a user's computer.  This content may overlap with Decoy Content, however Pocket Litter covers aspects beyond just content (e.g.: Installed Applications, source code, clutter on a system, etc.).","DOS0098
In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment.

DOS0099
In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary.

DOS0165
In an adversary engagement scenario, there is an opportunity to add legitimacy by ensuring the local system is with fully populated with content.","DUC0098
A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc.

DUC0099
A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.

DUC0104
A defender can stage a variety of pocket litter files to see if the adversary collect any of those files in an automated manner.

DUC0111
A defender can stage a variety of pocket litter files with known hashes around a system. Detections can be put in place if these hashes are seen moving around a system or out of the network.

DUC0165
A defender can stage a variety of pocket litter files to bolster the legitimacy of the local system.

DUC0226
A defender can seed content interesting files to an adversary, but lock the permissions down. The goal would be to force the adversary to expose their TTPs for circumventing the restrictions.","DPR0052
When staging a decoy system and user account, populate a user's folders and web history to make it look realistic to an adversary.

DPR0053
Stage a USB device with documents on a specific topic in order to see if they are exfiltrated by an adversary.","T1005

Data from Local System
Collection


T1025

Data from Removable Media
Collection


T1039

Data from Network Shared Drive
Collection


T1074

Data Staged
Collection


T1119

Automated Collection
Collection


T1213

Data from Information Repositories
Collection


T1222

File and Directory Permissions Modification
Defense Evasion


T1530

Data from Cloud Storage Object
Collection"
DTE0031,"Protocol Decoder

            Use software designed to deobfuscate or decrypt adversary command and control (C2) or data exfiltration traffic.
            

            Protocol decoders are designed to read network traffic and contextualize all activity between the operator and the implant. These tools are often required to process complex encryption ciphers and custom protocols into a human-readable format for an analyst to interpret.","DOS0015
There is an opportunity to use tools and controls to stop an adversary's activity.

DOS0249
There is an opportunity to reveal data that the adversary has tried to protect from defenders","DUC0248
Defenders can reverse engineer malware and develop protocol decoders that can decrypt and expose adversary communications

DUC0249
Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity.","DPR0054
Create and apply a decoder which allows you to view encrypted and/or encoded network traffic in a human-readable format.","T1001

Data Obfuscation
Command and Control


T1020

Automated Exfiltration
Exfiltration


T1030

Data Transfer Size Limits
Exfiltration


T1132

Data Encoding
Command and Control


T1573

Encrypted Channel
Command and Control"
DTE0032,"Security Controls

            Alter security controls to make the system more or less vulnerable to attack.
            

            Manipulating security controls involves making configuration changes to the security settings of a system including things like modifying Group Policies, disabling/enabling autorun for removable media, and tightening or relaxing system firewalls, etc.","DOS0001
There is an opportunity to study the adversary and collect first-hand observations about them and their tools.

DOS0016
There is an opportunity to use security controls to stop or allow an adversary's activity.

DOS0024
There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.

DOS0029
There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs.

DOS0087
In an adversary engagement scenario, there is an opportunity to test whether an adversary has the capability to steal or forge Kerberos tickets.

DOS0137
There is an opportunity to implement security controls which will prevent an adversary from using Windows Management Instrumentation (WMI), in order to entice them to reveal new TTPs.

DOS0140
There is an opportunity to use security controls on systems in order to affect the success of an adversary.

DOS0146
In an adversary engagement scenario, there is an opportunity to implement security controls to support your defensive objectives over a prolonged engagement.

DOS0148
In an adversary engagement scenario, there is an opportunity to implement security controls to allow an adversary to accomplish a task and extend an engagement.","DUC0012
A defender can disable Autorun to prevent malware from automatically executing when removeable media is plugged into a system.

DUC0045
A defender can enforce strong authentication requirements such as password changes, two factor authentication, etc. to impact or disrupt an adversary's activity.

DUC0048
A defender can block execution of untrusted software.

DUC0049
A defender can choose to harden or weaken security controls on a system to affect an adversaries ability to modify or create system processes.

DUC0066
In an adversary engagement scenario, a defender can  implement weak security controls that an adversary could subvert in order to further their attack.

DUC0088
A defender can secure Kerberos in order to prevent an adversary from leveraging the tickets to authenticate or move laterally. This may result in the adversary exposing additional TTPs.

DUC0092
A defender can harden authentication mechanisms to ensure having just a session cookie is not enough to authenticate with another system.

DUC0094
In an adversary engagement operation, a defender can intentionally increase the time window that a token is valid to see if the adversary is able to acquire and leverage the token.

DUC0127
A defender can configure systems to block any system with a number of authentication failures in a certain window of time.

DUC0138
A defender can harden accounts which have admin access and also restrict any users from being able to connect remotely using WMI.

DUC0140
A defender could use host-based tool to detect common persistence mechanisms and prevent the process from executing successfully.

DUC0142
A defender could use a host-based tool in order to have an effect on the success of an adversary abusing elevation control mechanisms.

DUC0143
A defender can use Trusted Platform Module technology and a secure boot process to prevent system integrity from being compromised.

DUC0144
A defender could implement security controls to have an effect on process injection techniques such as AppLocker or an Antivirus/EDR tool designed to watch for CreateRemoteThread events.

DUC0146
A defender could implement security controls to force an adversary to modify the authentication process if they want to collect or utilize credentials on a system.

DUC0179
A defender can prevent an adversary from enabling Wi-Fi or Bluetooth interfaces which could be connected to surrounding access points or devices and used for exfiltration.

DUC0197
In an adversary engagement scenario, a defender could ensure security controls allow untrusted code to execute on a system.","DPR0055
Weaken security controls on a system to allow for leaking of credentials via network connection poisoning.

DPR0056
Implement policies on a system to prevent the insecure storage of passwords in the registry. This may force an adversary to revert these changes or find another way to access cached credentials.","T1011

Exfiltration Over Other Network Medium
Exfiltration


T1014

Rootkit
Defense Evasion


T1047

Windows Management Instrumentation
Execution


T1055

Process Injection
Defense Evasion, Privilege Escalation


T1091

Replication Through Removable Media
Lateral Movement, Initial Access


T1098

Account Manipulation
Persistence


T1111

Two-Factor Authentication Interception
Credential Access


T1197

BITS Jobs
Defense Evasion, Persistence


T1499

Endpoint Denial of Service
Impact


T1539

Steal Web Session Cookie
Credential Access


T1542

Pre-OS Boot
Defense Evasion, Persistence


T1543

Create or Modify System Process
Persistence, Privilege Escalation


T1548

Abuse Elevation Control Mechanism
Privilege Escalation, Defense Evasion


T1553

Subvert Trust Controls
Defense Evasion


T1556

Modify Authentication Process
Credential Access, Defense Evasion


T1558

Steal or Forge Kerberos Tickets
Credential Access


T1574

Hijack Execution Flow
Persistence, Privilege Escalation, Defense Evasion"
DTE0033,"Standard Operating Procedure

            Establish a structured way of interacting with systems so that non-standard interactions are more easily detectable.
            

            Standard Operating Procedures (SOPs) establish a structured way of interacting with systems and services. These procedures are in place for all users to ensure they can accomplish their goal in the approved manner. If an adversary attempts to perform any tasks which do not conform to the SOP, that activity will be easier to identify, alert on, and respond to.","DOS0027
There is an opportunity to create a detection with a moderately high probability of success.

DOS0095
There is an opportunity to detect an adversary's activity if they are unable to follow a company's documented standard operating procedures.","DUC0047
A defender can detect user accounts created outside the acceptable process.

DUC0054
A defender can define operating procedures for adding services and alert when they are added outside of this procedure (i.e. by an adversary) to detect abnormal behavior.

DUC0061
A defender can provide a set of operating procedures for modifying GPOs and create an alert to detect unusual behavior when that procedure is not followed.

DUC0095
A defender can implement a standard operating procedure which restricts users from using 2FA or MFA more than once without another process being invoked.","DPR0057
Require approvals and waivers for users to make changes to their system which requires administrative access. Any changes not made through this process are suspect and immediately investigated as malicious activity.

DPR0058
Create a development library that all users must leverage in order to interact with any hosted databases. This library modifies queries to look difficult to write. Any queries made without the library will now be obvious to detect and are immediately investigated as malicious activity.","T1111

Two-Factor Authentication Interception
Credential Access


T1136

Create Account
Persistence


T1562

Impair Defenses
Defense Evasion


T1569

System Services
Execution"
